form,lemma,pos,morph
Beatissimo,beatvs,ADJqua,Case=Dat|Numb=Sing|Deg=Sup
et,et,CONcoo,MORPH=empty
gloriosissimo,gloriosvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
Augusto,avgvstvs,NOM2,Case=Dat|Numb=Sing
Constantio,constantio,NOM3,Case=Nom|Numb=Sing
synodus,synodvs,NOM2,Case=Nom|Numb=Sing
Ariminensis,ariminenses,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
Iubente,ivbente,NOM3,Case=Abl|Numb=Sing
deo,devs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
praecepto,praeceptvm,NOM2,Case=Abl|Numb=Sing
pietatis,pietas,NOM3,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
credimus,credo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
fuisse,svm,VER,Mood=Inf|Tense=Perf|Voice=Act
dispositum,dispono,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
ut,vt,CONsub,MORPH=empty
ad,ad,PRE,MORPH=empty
Ariminensium,ariminenses,NOM3,Case=Gen|Numb=Plur
locum,locvs,NOM2,Case=Acc|Numb=Sing
ex,ex,PRE,MORPH=empty
diuersis,diversvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
prouinciis,provincia,NOM1,Case=Abl|Numb=Plur
Occidentalium,occidentalis,NOM3,Case=Gen|Numb=Plur
episcopi,episcopivs,NOM3,Case=Dat|Numb=Sing
ueniremus,venio,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
fides,fides,NOM5,Case=Nom|Numb=Sing
claresceret,claresco,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
omnibus,omnis,PROind,Case=Abl|Numb=Plur
IIAPA,qvapa,NOM1,Case=Nom|Numb=Sing
Ex,ex,NOM3,Case=Nom|Numb=Sing
xai,xeo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf
Ta,tatvs,NOM2,Case=Abl|Numb=Sing
auro,avrvm,NOM2,Case=Abl|Numb=Sing
Iua,iva,NOM1,Case=Abl|Numb=Sing
xai,xeo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf
ecclesiis,eqclesivs,NOM2,Case=Abl|Numb=Plur
catholicis,catholicvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
haeretici,haereticvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
noscerentur,nosco,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
dum,dvm,CONsub,MORPH=empty
enim,enim,CONcoo,MORPH=empty
omnes,omnis,PROind,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
recte,recte,ADV,Deg=Pos
sapimus,sapio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
contractaremus,contracto,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=1
placuit,placeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
fidem,fides,NOM5,Case=Acc|Numb=Sing
ab,ab,PRE,MORPH=empty
antiquitate,antiqvitas,NOM3,Case=Abl|Numb=Sing
perseuerantem,persevero,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quam,qvi,PROrel,Case=Acc|Numb=Sing
praedicauerunt,praedico,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
prophetae,propheta,NOM1,Case=Nom|Numb=Plur
euangelia,evangelivm,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
apostoli,apostolvm,NOM2,Case=Gen|Numb=Sing
per,per,PRE,MORPH=empty
ipsum,ipse,PROdem,Case=Acc|Numb=Sing
deum,devs,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
dominum,dominvs,NOM2,Case=Acc|Numb=Sing
nostrum,noster,PROpos,Case=Acc|Numb=Sing
Iesum,iesvs,NOM2,Case=Acc|Numb=Sing
Christum,christvs,NOM2,Case=Acc|Numb=Sing
saluatorem,salvator,NOM3,Case=Acc|Numb=Sing
imperii,imperivm,NOM2,Case=Gen|Numb=Sing
tui,tvvs,PROpos,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
largitorem,largitor,NOM3,Case=Acc|Numb=Sing
salutis,salvs,NOM3,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
ut,vt,CONsub,MORPH=empty
quam,qvi,PROrel,Case=Acc|Numb=Sing
semper,semper,ADV,Deg=Pos
obtinuimus,obtineo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
teneamus,teneo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
nefas,nefas,NOM6,Case=Ind
enim,enim,CONcoo,MORPH=empty
duximus,dvco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sanctorum,sanctvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
mutilare,mvtilo,VER,Mood=Inf|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
eorum,is,PROdem,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
Nicheno,nichenvs,NOM2,Case=Abl|Numb=Sing
tractatu,tractatvs,NOM4,Case=Abl|Numb=Sing
consederant,consido,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
una,vna,ADJcar,Deg=Pos
cum,cvm,CONsub,MORPH=empty
gloriosae,gloriosvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
memoriae,memoria,NOM1,Case=Gen|Numb=Sing
oi,ovis,NOM2,Case=Dat|Numb=Sing
rauauria,ravavria,NOM2,Case=Acc|Numb=Plur
riju,rivvs,NOM4,Case=Abl|Numb=Sing
ex,ex,PRE,MORPH=empty
xai,xaivs,VER,Case=Gen|Numb=Sing
oi,ovis,NOM2,Case=Dat|Numb=Sing
xai,xeo,VER,Case=Gen|Numb=Sing|Tense=Perf
ra,ra,NOM1,Numb=Sing
xai,xeo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf
oi,ovis,NOM2,Case=Dat|Numb=Sing
xugiou,xvgio,NOM3,Case=Abl|Numb=Sing
rou,rovvs,NOM4,Case=Abl|Numb=Sing
xal,xal,NOM3,Case=Nom|Numb=Sing
xai,xeo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf
iua,iva,NOM1,Case=Abl|Numb=Sing
xal,xal,NOM3,Case=Nom|Numb=Sing
xai,xeo,VER,Case=Gen|Numb=Sing|Tense=Perf
xai,xeveo,VER,Case=Gen|Numb=Sing|Tense=Perf
xai,xeo,VER,Case=Gen|Numb=Sing|Tense=Perf
iu,ivs,NOM2,Case=Abl|Numb=Sing
Kwuoraurluou,cavoravrvs,NOM2,Case=Gen|Numb=Sing
Constantino,constantinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
patre,pater,NOM3,Case=Abl|Numb=Sing
pietatis,pietas,NOM3,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
tractatus,tracto,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
manifestatus,manifestatvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
insinuatus,insinvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
mentibus,mens,NOM3,Case=Abl|Numb=Plur
populorum,popvlvs,NOM2,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
contra,contra,ADV,Deg=Pos
haeresim,haereo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
Arrianam,arrianvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
tunc,tvnc,ADV,Deg=Pos
positus,pono,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
inuenitur,invenio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
at,at,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
ipsa,ipse,PROdem,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
reliquae,reliqvvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
haereses,haereo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=2
inde,inde,ADV,Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
expugnatae,expvgno,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
si,si,CONsub,MORPH=empty
aliquid,aliqvis,PROind,Case=Nom|Numb=Sing
demtum,demo,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
uenenis,venenvm,NOM2,Case=Abl|Numb=Plur
haereticorum,haereticvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
aditus,aditvs,NOM4,Case=Nom|Numb=Sing
panditur,pando,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Ideo,ideo,NOM2,Case=Abl|Numb=Sing
Vrsatius,vrsativs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
Valens,valens,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
suspicionem,svspicio,NOM3,Case=Acc|Numb=Sing
eiusdem,idem,PROdem,Case=Gen|Numb=Sing
haereseos,haeresevs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
Arrianae,arrianvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
uenerunt,venio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
aliquando,aliqvando,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
suspensi,svspensvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
erant,svm,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
a,ab,PRE,MORPH=empty
communione,commvnio,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
rogauerunt,rogo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ueniam,venia,NOM1,Case=Acc|Numb=Sing
sicut,sicvt,ADVrel,MORPH=empty
eorum,is,PROdem,Case=Gen|Numb=Plur
continent,contineo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
scripta,scriptvm,VER,Case=Acc|Numb=Plur|Tense=Perf|Voice=Pass
quam,qvi,PROrel,Case=Acc
meruerant,mereo,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
tunc,tvnc,ADV,Deg=Pos
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
a,ab,PRE,MORPH=empty
concilio,concilivm,NOM2,Case=Abl|Numb=Sing
Mediolanensi,mediolanensis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
assistentibus,assisto,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
etiam,etiam,ADV,Deg=Pos
legatis,legatvs,NOM2,Case=Abl|Numb=Plur
xxai,xxa,NOM1,Case=Gen|Numb=Sing
q,,CONsub,MORPH=empty
xai,xaeo,VER,Numb=Plur|Tense=Perf
xx,xxcenti,NOM3,Case=Ind
xai,xalo,VER,Numb=Sing|Tense=Perf
xal,xal,NOM3,Case=Nom|Numb=Sing
ge,gence,PROdem,Case=Abl|Numb=Sing
x,qvingenti,ADJcar,Case=Ind
ai,ai,PRE,Numb=Sing
hunni,hvnnvs,NOM2,Case=Gen|Numb=Sing
alQeoet,alceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
x,xicene,ADJcar,Case=Ind
x,qvingenti,ADJcar,Case=Ind
xai,xeo,VER,Case=Nom|Numb=Plur|Tense=Perf
n,ne,ADVneg,MORPH=empty
x,qvingenti,ADJcar,Case=Ind
xx,xxes,NOM3,Case=Ind|Numb=Sing
x,qvingenti,ADJcar,Case=Ind
x,qvingenti,ADJord,Case=Ind|Numb=Plur
xx,xxes,NOM3,Case=Ind
xai,xaeo,VER,Case=Nom|Numb=Plur|Tense=Perf
x,qvingenti,ADJcar,Case=Ind
oi,ovis,NOM2,Case=Dat|Numb=Sing
iauToi,iavtvs,NOM2,Case=Nom|Numb=Plur
x,qvingenti,ADJcar,Case=Ind
xai,xevs,VER,Case=Nom|Numb=Plur
xai,xaeo,VER,Case=Nom|Numb=Plur|Tense=Perf
x,qvingenti,ADJcar,MORPH=empty
xai,xaivs,VER,Case=Nom|Numb=Plur
x,qvingenti,ADJcar,Case=Ind
u,vnvs,ADVrel,Numb=Sing
x,qvingenti,ADJcar,Case=Ind
x,qvingenti,ADJcar,Case=Nom|Numb=Sing
Tij,tivs,NOM2,Case=Nom|Numb=Sing
x,qvingenti,ADJcar,Case=Ind
xRomanae,xomanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
ecclesiae,ecclesia,NOM1,Case=Gen|Numb=Sing
