form,lemma,pos,morph
Lucis,lvcis,NOM2,Case=Voc|Numb=Plur
largitor,largitor,NOM3,Case=Nom|Numb=Sing
splendide,splendide,ADV,Deg=Pos
cuius,qvi,PROrel,Case=Gen|Numb=Sing
sermonis,sermo,NOM3,Case=Gen|Numb=Sing
lumine,lvmen,NOM3,Case=Abl|Numb=Sing
post,post,PRE,MORPH=empty
lapsa,labor,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
noctis,nox,NOM3,Case=Gen|Numb=Sing
tempora,tempvs,NOM3,Case=Acc|Numb=Plur
dies,dies,NOM5,Case=Nom|Numb=Sing
refusus,refvndo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
panditur,pando,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Tu,tv,NOM2,Case=Nom|Numb=Sing
uerus,vervs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
mundi,mvndvs,NOM2,Case=Gen|Numb=Sing
lucifer,lvcifer,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
non,non,ADVneg,MORPH=empty
is,is,PROdem,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
parui,parvvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
sideris,sidvs,NOM3,Case=Gen|Numb=Sing
uenturae,venio,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
lucis,lvx,NOM3,Case=Gen|Numb=Sing
nuntius,nvntivs,NOM2,Case=Nom|Numb=Sing
angusto,angvstvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
fulget,fvlgeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
lumine,lvmen,NOM3,Case=Abl|Numb=Sing
Sed,sed,NOM7,Case=Acc|Numb=Sing
toto,totvs,PROind,Case=Abl|Numb=Sing
sole,sol,NOM3,Case=Abl|Numb=Sing
clarior,clarvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
lux,lvx,NOM3,Case=Nom|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
totus,totvs,PROind,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
dies,dies,NOM5,Case=Acc|Numb=Plur
interna,internvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
nostri,noster,PROpos,Case=Gen|Numb=Plur
pectorisilluminans,pectorisco,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
praecordia,praecordia,NOM2,Case=Acc|Numb=Plur
Adesto,adestvs,NOM3,Case=Dat|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
conditor,conditor,NOM3,Case=Nom|Numb=Sing
paternae,paternvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
lucis,lvx,NOM3,Case=Gen|Numb=Sing
gloria,gloria,NOM1,Case=Nom|Numb=Sing
cuius,qvi,PROrel,Case=Gen|Numb=Sing
amota,amoveo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
gratia,gratia,NOM1,Case=Abl|Numb=Sing
nostra,noster,PROpos,Case=Nom|Numb=Plur
pauescunt,pavesco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
corpora,corpvs,NOM3,Case=Nom|Numb=Plur
Tuoque,tvoqvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
plena,plenvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
spiritu,spiritvs,NOM4,Case=Abl|Numb=Sing
secum,secvs,NOM4,Case=Acc|Deg=Pos
deum,devs,NOM2,Case=Gen|Numb=Plur
gestantia,gesto,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ne,ne,CONsub,MORPH=empty
rapientis,rapio,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
perfidi,perfidvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
diris,dirvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
pateant,pateo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
fraudibus,fravs,NOM3,Case=Abl|Numb=Plur
Vt,vt,NOM3,MORPH=empty
inter,inter,PRE,MORPH=empty
actus,actvs,NOM4,Case=Acc|Numb=Plur
saeculi,saecvlvm,NOM2,Case=Gen|Numb=Sing
uitae,vita,NOM1,Case=Gen|Numb=Sing
quos,qvi,PROrel,Case=Acc|Numb=Plur
usus,vsvs,NOM4,Case=Nom|Numb=Sing
exigit,exigo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
omni,omnis,PROind,Case=Abl|Numb=Sing
carentes,careo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
crimine,crimen,NOM3,Case=Abl|Numb=Sing
tuis,tvvs,PROpos,Case=Abl|Numb=Plur
uiuamus,vivo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
legibus,lex,NOM3,Case=Abl|Numb=Plur
Probrosas,probrosvs,ADJqua,Case=Acc|Numb=Plur
mentis,mens,NOM3,Case=Gen|Numb=Sing
castitas,castitas,NOM3,Case=Nom|Numb=Sing
carnis,caro,NOM3,Case=Gen|Numb=Sing
uincat,vinco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
libidines,libido,NOM3,Case=Acc|Numb=Plur
sanctumque,sanctvmqve,ADV,Deg=Pos
puri,pvrvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
delubrum,delvbrvm,NOM2,Case=Acc|Numb=Sing
seruet,servo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
spiritus,spiritvs,NOM4,Case=Nom|Numb=Sing
Haec,haecvs,ADJqua,Case=Nom|Numb=Sing
spes,spes,NOM5,Case=Nom|Numb=Sing
precantis,precor,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
animae,anima,NOM1,Case=Gen|Numb=Sing
haec,hic,PROdem,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uotiua,votivvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
munera,mvnvs,NOM3,Case=Nom|Numb=Plur
ut,vt,CONsub,MORPH=empty
matutina,matvtinvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
nobis,nos,PROper,Case=Dat|Numb=Plur
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
lux,lvx,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
noctis,nox,NOM3,Case=Gen|Numb=Sing
custodiam,cvstodia,NOM1,Case=Acc|Numb=Sing
Gloria,glorivs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
tibi,tv,PROper,Case=Dat|Numb=Sing
domine,dominvs,NOM2,Case=Voc|Numb=Sing
gloria,gloria,NOM1,Case=Abl|Numb=Sing
unigenito,vnigeno,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
cum,cvm,PRE,MORPH=empty
spiritu,spiritvs,NOM4,Case=Abl|Numb=Sing
paraclito,paracleo,VER,Case=Abl|Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
nunc,nvnc,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
per,per,PRE,MORPH=empty
omne,omnis,PROind,Case=Acc|Numb=Sing
saeculum,saecvlvm,NOM2,Case=Acc|Numb=Sing
Amen,amen,NOM7,Case=Acc|Numb=Sing
